id,title,credits,download_icon0,download_icon0_mirror,download_url,download_url_mirror,download_readme,download_readme_mirror,download_src,download_src_mirror,time_added,config_type,options,type,depends,visible
vFlux,vFlux,Applelo,None,None,https://github.com/Applelo/vFlux/releases/download/0.5/vFlux.suprx,None,https://raw.githubusercontent.com/Applelo/vFlux/master/README.md,None,https://github.com/Applelo/vFlux.git,None,1591214249,TAI,*ALL,PLUGIN,None,True
VitaShellKernel,usbmc,yifanlu,None,None,https://github.com/yifanlu/usbmc/releases/download/v6/usbmc.skprx,None,https://raw.githubusercontent.com/yifanlu/usbmc/master/README.md,None,https://github.com/yifanlu/usbmc.git,None,1591214285,TAI,*KERNEL,PLUGIN,None,True
QuickPower,quick_power,cuevavirus,None,None,https://forum.devchroma.nl/index.php?action=dlattach;topic=78.0;attach=55,None,None,None,None,None,1591213574,TAI,*main,PLUGIN,None,True
reScreeny,rescreeny,dots-tb,None,None,https://github.com/dots-tb/reScreeny/releases/download/1.2/reScreeny.suprx,None,https://raw.githubusercontent.com/dots-tb/rescreeny/master/README.md,None,https://github.com/dots-tb/rescreeny.git,None,1591213176,TAI,*NPXS10036,PLUGIN,None,True
repatch,rePatch-reDux0,dots-tb & SilicaAndPina & CelesteBlue,None,None,https://github.com/dots-tb/rePatch-reDux0/releases/download/3.0/repatch.skprx,None,https://raw.githubusercontent.com/dots-tb/rePatch-reDux0/master/README.md,None,https://github.com/dots-tb/rePatch-reDux0.git,None,1591213260,TAI,*KERNEL,PLUGIN,None,True
pngshot,pngshot,xyzz,None,None,https://github.com/xyzz/pngshot/releases/download/v1.3/pngshot.suprx,None,https://raw.githubusercontent.com/xyzz/pngshot/master/README.md,None,https://github.com/xyzz/pngshot.git,None,1591214200,TAI,*main,PLUGIN,None,True
SysidentUser,sysident,Princess of Sleeping,None,None,https://github.com/cuevavirus/sysident/releases/download/v1.0/sysident.suprx,None,https://raw.githubusercontent.com/cuevavirus/sysident/master/README.md,None,https://github.com/cuevavirus/sysident.git,None,1591213095,TAI,*NPXS10015|*NPXS10016,PLUGIN,None,True
ds4vita,ds4vita,xerpi,None,None,https://github.com/xerpi/ds4vita/releases/download/hooks/ds4vita.skprx,None,https://raw.githubusercontent.com/xerpi/ds4vita/master/README.md,None,https://github.com/xerpi/ds4vita.git,None,1591214312,TAI,*KERNEL,PLUGIN,None,True
AKRK00001,LOLIcon Fast Switch,cuevavirus,https://raw.githubusercontent.com/cuevavirus/LOLIconFastSwitch/master/sce_sys/icon0.png,None,https://github.com/cuevavirus/LOLIconFastSwitch/releases/download/v1.0.0/LOLIconFastSwitch.vpk,None,https://raw.githubusercontent.com/cuevavirus/LOLIconFastSwitch/master/README.md,None,https://github.com/cuevavirus/LOLIconFastSwitch.git,None,1591213393,None,None,VPK,None,True
LOLIcon_03,LOLIcon,dots-tb,None,None,https://github.com/dots-tb/LOLIcon/releases/download/1.0.1/LOLIcon.skprx,None,https://raw.githubusercontent.com/dots-tb/LOLIcon/master/README.md,None,https://github.com/dots-tb/LOLIcon.git,None,1591213209,TAI,*KERNEL,PLUGIN,None,True
APWRFRESH,Easy Power Refresh,Team ONElua,https://raw.githubusercontent.com/ONElua/Easy-Power-Refresh/master/EasyPowerRefresh/sce_sys/icon0.png,None,https://github.com/ONElua/Easy-Power-Refresh/releases/download/2.01/Easy-Power-Refresh.vpk,None,https://raw.githubusercontent.com/ONElua/Easy-Power-Refresh/master/README.md,None,https://github.com/ONElua/Easy-Power-Refresh.git,None,1591227747,None,None,VPK,None,True
LOLIcon_01,lolita500,teakhanirons,None,None,https://github.com/teakhanirons/lolita500/releases/download/1.0/lolita500.skprx,None,https://raw.githubusercontent.com/teakhanirons/lolita500/master/README.md,None,https://github.com/teakhanirons/lolita500.git,None,1591134736,TAI,*KERNEL,PLUGIN,None,True
shellbat,vita-shellbat,nowrep,None,None,https://github.com/nowrep/vita-shellbat/releases/download/r10/shellbat.suprx,None,https://raw.githubusercontent.com/nowrep/vita-shellbat/master/README.md,None,https://github.com/nowrep/vita-shellbat.git,None,1591133359,TAI,*main,PLUGIN,None,True
StorageMgrKernel,PSVita-StorageMgr,CelesteBlue-dev,None,None,https://github.com/CelesteBlue-dev/PSVita-StorageMgr/releases/download/v3.2/storagemgr.skprx,None,https://raw.githubusercontent.com/CelesteBlue-dev/PSVita-StorageMgr/master/README.md,None,https://github.com/CelesteBlue-dev/PSVita-StorageMgr.git,None,1591133332,TAI,*KERNEL,PLUGIN,None,True
TropHax,TropHAX,SilicaServer,None,None,https://bitbucket.org/SilicaAndPina/trophax/downloads/trophax2.0.suprx,None,https://bitbucket.org/SilicaAndPina/trophax/raw/bad8c2dbb14b3280954140e289c8c6928c0b50fd/README.md,None,None,None,1591133208,TAI,*ALL,PLUGIN,None,True
noWhitelist,nopsmwhitelist,SilicaAndPina,None,None,https://bitbucket.org/SilicaAndPina/nopsmwhitelist/downloads/noPsmWhitelist.skprx,None,https://bitbucket.org/SilicaAndPina/nopsmwhitelist/raw/657b4a4045ac0e1b000bb52a06d48d9067325e41/README.md,None,https://bitbucket.org/SilicaAndPina/nopsmwhitelist/downloads/noPsmWhitelist.skprx,None,1591133126,TAI,*KERNEL,PLUGIN,None,True
0syscall6,0syscall6,SKGleba,None,None,https://github.com/SKGleba/0syscall6/releases/download/v1.3/0syscall6.skprx,None,https://raw.githubusercontent.com/SKGleba/0syscall6/master/README.md,None,https://github.com/SKGleba/0syscall6.git,None,1591133025,TAI,*KERNEL,PLUGIN,None,True
NoPowerLimits,NoPowerLimitsVita,Electry,None,None,https://github.com/Electry/NoPowerLimitsVita/releases/download/v1.1/NoPowerLimits.skprx,None,https://raw.githubusercontent.com/Electry/NoPowerLimitsVita/master/README.md,None,https://github.com/Electry/NoPowerLimitsVita.git,None,1591132984,TAI,*KERNEL,PLUGIN,None,True
VGi,VGi,Electry,None,None,https://github.com/Electry/VGi/releases/download/v0.7/VGi.suprx,None,https://raw.githubusercontent.com/Electry/VGi/master/README.md,None,https://github.com/Electry/VGi.git,None,1591132962,TAI,*ALL,PLUGIN,None,True
oclockvita,oclockvita,frangarcj,None,None,https://github.com/frangarcj/oclockvita/releases/download/1.2.1/oclockvita.suprx,None,https://raw.githubusercontent.com/frangarcj/oclockvita/master/README.md,None,https://github.com/frangarcj/oclockvita.git,None,1591132908,TAI,*ALL,PLUGIN,None,True
LOLIcon_02,DerInClocKS,teakhanirons,None,None,https://github.com/teakhanirons/DerInClocKS/releases/download/1.0/derinclocks.skprx,None,None,None,https://github.com/teakhanirons/DerInClocKS.git,None,1591132722,TAI,*KERNEL,PLUGIN,None,True
hcstudio,hcstudio,teakhanirons,None,None,https://github.com/teakhanirons/hcstudio/releases/download/1.0/hcstudio.skprx,None,https://raw.githubusercontent.com/teakhanirons/hcstudio/master/README.md,None,https://github.com/teakhanirons/hcstudio.git,None,1591132676,TAI,*KERNEL,PLUGIN,None,True
LOLIcon,lolita444,teakhanirons,None,None,https://github.com/teakhanirons/lolita500/releases/download/0.5/lolita444.skprx,None,https://raw.githubusercontent.com/teakhanirons/lolita500/master/README.md,None,https://github.com/teakhanirons/lolita500.git,None,1591132595,TAI,*KERNEL,PLUGIN,None,True
ftpeverywhere,ftpeverywhere,teakhanirons,None,None,https://github.com/teakhanirons/ftpeverywhere/releases/download/1.0/ftpeverywhere.suprx,None,https://raw.githubusercontent.com/teakhanirons/ftpeverywhere/master/README.md,None,https://github.com/teakhanirons/ftpeverywhere.git,None,1591132472,TAI,*main,PLUGIN,None,True
udcd_uvc,vita-udcd-uvc,xerpi,None,None,https://github.com/xerpi/vita-udcd-uvc/releases/download/1.5/udcd_uvc.skprx,None,https://raw.githubusercontent.com/xerpi/vita-udcd-uvc/master/README.md,None,https://github.com/xerpi/vita-udcd-uvc.git,None,1590640022,TAI,*KERNEL,PLUGIN,None,True
SHORTCUTS,ShortCuts Enhancer,Team ONElua,https://raw.githubusercontent.com/ONElua/Shortcuts-Enhancer/master/SHORTCUTS/sce_sys/icon0.png,None,https://github.com/ONElua/Shortcuts-Enhancer/releases/download/2.00/Shortcuts-Enhancer.vpk,None,https://raw.githubusercontent.com/ONElua/Shortcuts-Enhancer/master/README.md,None,https://github.com/ONElua/Shortcuts-Enhancer.git,None,1590600956,None,None,VPK,None,True
ARKFAST00,ArkFast,Team ONElua,https://raw.githubusercontent.com/ONElua/ArkFast/master/sce_sys/icon0.png,None,https://github.com/ONElua/ArkFast/releases/download/2.30/ArkFast.vpk,None,https://raw.githubusercontent.com/ONElua/ArkFast/master/README.md,None,https://github.com/ONElua/ArkFast.git,None,1590600352,None,None,VPK,None,True
FreePSM,FreePSM,SilicaAndPina,None,None,https://bitbucket.org/SilicaAndPina/freepsm/downloads/FreePSM-v1.1.suprx,None,https://bitbucket.org/SilicaAndPina/freepsm/raw/master/README.md,None,https://bitbucket.org/SilicaAndPina/freepsm.git,None,1590599406,TAI,*ALL,PLUGIN,None,True
NoNpDrm_01,NoPsmDrm,frangarcj,None,None,https://github.com/frangarcj/NoPsmDrm/releases/download/v1.4/nopsmdrm.skprx,None,https://raw.githubusercontent.com/frangarcj/NoPsmDrm/master/README.md,None,https://github.com/frangarcj/NoPsmDrm.git,None,1590598578,TAI,*KERNEL,PLUGIN,None,True
NoNpDrm,NoNpDrm,TheOfficialFloW,None,None,https://github.com/TheOfficialFloW/NoNpDrm/releases/download/v1.2/nonpdrm.skprx,None,https://raw.githubusercontent.com/TheOfficialFloW/NoNpDrm/master/readme.md,None,https://github.com/TheOfficialFloW/NoNpDrm.git,None,1590597502,TAI,*KERNEL,PLUGIN,None,True
DolcePolce,DolcePolce,SilicaAndPina,None,None,https://github.com/KuromeSan/DolcePolce/releases/download/v1.0/DolcePolce.suprx,None,https://raw.githubusercontent.com/KuromeSan/DolcePolce/master/README.md,None,https://github.com/KuromeSan/DolcePolce.git,None,1590595593,TAI,*main,PLUGIN,None,True
VITABREAK,VitOut,Dane64,https://raw.githubusercontent.com/Dane64/VitOut/master/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/VITABREAK_icon0.png,https://github.com/Dane64/VitOut/releases/download/2.0/VitOut.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/VITABREAK.vpk,https://raw.githubusercontent.com/Dane64/VitOut/master/README.md,None,https://github.com/Dane64/VitOut.git,None,1590576871,None,None,VPK,None,True
NOBOR0001,Noboru,Creckeryop,https://raw.githubusercontent.com/Creckeryop/NOBORU/master/source/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/NOBOR0001_icon0.png,https://github.com/Creckeryop/NOBORU/releases/download/0.53/Noboru.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/NOBOR0001.vpk,https://raw.githubusercontent.com/Creckeryop/NOBORU/master/README.md,None,https://github.com/Creckeryop/NOBORU.git,None,1590576773,None,None,VPK,None,True
BGFTP0010,BGFTP,GrapheneCt,https://raw.githubusercontent.com/GrapheneCt/BGFTP/master/common_data/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/BGFTP0010_icon0.png,https://github.com/GrapheneCt/BGFTP/releases/download/v2.0/BGFTP.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/BGFTP0010.vpk,https://raw.githubusercontent.com/GrapheneCt/BGFTP/master/README.md,None,https://github.com/GrapheneCt/BGFTP.git,None,1590005458,None,None,VPK,None,True
AUTOPLUG2,AutoPlugin II,Team ONElua & theheroGAC,https://raw.githubusercontent.com/ONElua/AutoPlugin2/master/AUTOPLUG2/sce_sys/icon0.png,None,https://github.com/ONElua/AutoPlugin2/releases/download/1.07/AutoPlugin2.vpk,None,https://raw.githubusercontent.com/ONElua/AutoPlugin2/master/README.md,None,https://github.com/ONElua/AutoPlugin2.git,None,1590005393,None,None,VPK,None,True
TIMEMACHI,Time Machine,BalisticksMain,https://raw.githubusercontent.com/BalisticksMain/TimeMachine/master/app/sce_sys/icon0.png,None,https://github.com/BalisticksMain/TimeMachine/releases/download/v1.0/TimeMachine.vpk,None,https://raw.githubusercontent.com/BalisticksMain/TimeMachine/master/README.md,None,https://github.com/BalisticksMain/TimeMachine.git,None,1589472340,None,None,VPK,None,True
MLCL00003_03,enso,Team Molecule & SilicaAndPina,https://raw.githubusercontent.com/KuromeSan/enso-dex/master/installer/res/icon.png,None,https://github.com/KuromeSan/enso-dex/releases/download/v1.2/enso.vpk,None,https://raw.githubusercontent.com/KuromeSan/enso-dex/master/README.md,None,https://github.com/KuromeSan/enso-dex.git,None,1589386027,None,None,VPK,None,True
BREWW0001,BreakVeetOut,dal3boy & Ruben_Wolfe,None,None,https://github.com/ddB0515/BreakVeetOut/releases/download/v0.3/BreakVeetOut_v0.3.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/BREWW0001.vpk,https://raw.githubusercontent.com/ddB0515/BreakVeetOut/master/README.md,None,https://github.com/ddB0515/BreakVeetOut.git,None,1589337721,None,None,VPK,None,True
VCID00001,VitaCID,tomtomdu80,None,None,https://github.com/MajorTomSec/VitaCID/releases/download/1.0/VitaCID.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/VCID00001.vpk,https://raw.githubusercontent.com/MajorTomSec/VitaCID/master/README.md,None,https://github.com/MajorTomSec/VitaCID.git,None,1589337681,None,None,VPK,None,True
PEND00000,AccountSwitcher,pendor,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/PEND00000_icon0.png,None,https://github.com/elpendor/accountswitcher/releases/download/v2.4/AccountSwitcher.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/PEND00000.vpk,https://raw.githubusercontent.com/elpendor/accountswitcher/master/README.md,None,https://github.com/elpendor/accountswitcher.git,None,1589337635,None,None,VPK,None,True
BSTONE012,bstone,01y,https://raw.githubusercontent.com/01y/bstone-vita/develop/src/vita/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/BSTONE012_icon0.png,https://github.com/01y/bstone-vita/releases/download/0.3-vita/bstone-0.3.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/BSTONE012.vpk,https://raw.githubusercontent.com/01y/bstone-vita/develop/README.md,None,https://github.com/01y/bstone-vita.git,None,1589337615,None,None,VPK,d36180de,True
ZXGQ00004,GoHAN_Parallel,OneRice07,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/ZXGQ00004_icon0.png,None,https://github.com/OneRice07/GoHAN/releases/download/v2.10/GoHAN_Parallel_2.10.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/ZXGQ00004.vpk,https://raw.githubusercontent.com/OneRice07/GoHAN/master/README.md,None,https://github.com/OneRice07/GoHAN.git,None,1589337606,None,None,VPK,None,True
ACTI00000,Vita Activator,ZombieWizzard,None,None,https://github.com/zth0/vita-activator/releases/download/v1.1/vita-activator.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/ACTI00000.vpk,https://raw.githubusercontent.com/zth0/vita-activator/master/README.md,None,https://github.com/zth0/vita-activator.git,None,1589337593,None,None,VPK,None,True
VPRW00001,VitaRW,tomtomdu80,None,None,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/VPRW00001.vpk,None,https://raw.githubusercontent.com/MajorTomSec/VitaRW/master/README.md,None,https://github.com/MajorTomSec/VitaRW.git,None,1589337587,None,None,VPK,None,True
MYLEGNOOB,HappyLand,MyLegGuy,https://raw.githubusercontent.com/goodgamesipromise/HappyLand/master/Vpkcontents/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/MYLEGNOOB_icon0.png,https://github.com/MyLegGuy/HappyLand/releases/download/v1.1/HappyLand-1.1.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/MYLEGNOOB.vpk,https://raw.githubusercontent.com/MyLegGuy/HappyLand/master/README.txt,None,https://github.com/MyLegGuy/HappyLand.git,None,1589337568,None,None,VPK,None,True
SHDW00001,advremap,ShadowPrince,None,None,https://github.com/shdwp/advremap/releases/download/00.10/advremap.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/SHDW00001.vpk,https://raw.githubusercontent.com/shdwp/advremap/master/README.md,None,https://github.com/shdwp/advremap.git,None,1589337551,None,None,VPK,None,True
RCHT00001,rinCheat SE,Rinnegatamante,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/RCHT00001_icon0.png,None,https://vitadb.rinnegatamante.it/get_hb_url.php?id=46,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/RCHT00001.vpk,https://raw.githubusercontent.com/Rinnegatamante/rinCheat/master/README.md,None,https://github.com/Rinnegatamante/rinCheat.git,None,1589337482,None,None,VPK,None,True
BERM00001,bermuda-vita,usineur,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/BERM00001_icon0.png,None,https://github.com/usineur/bermuda/releases/download/1.4/bermuda-vita.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/BERM00001.vpk,https://raw.githubusercontent.com/usineur/bermuda/master/README.TXT,None,https://github.com/usineur/bermuda.git,None,1589337439,None,None,VPK,None,True
SDLPAL001,sdlpal,usineur,https://raw.githubusercontent.com/usineur/sdlpal/ports/psp2/res/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/SDLPAL001_icon0.png,https://github.com/usineur/sdlpal/releases/download/1.3/sdlpal.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/SDLPAL001.vpk,https://raw.githubusercontent.com/usineur/sdlpal/ports/README.md,None,https://github.com/usineur/sdlpal.git,None,1589337420,None,None,VPK,595c20fd,True
TETR00001,tetromino,svennd,https://raw.githubusercontent.com/svennd/vita-tetromino/master/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/TETR00001_icon0.png,https://github.com/svennd/vita-tetromino/releases/download/0.8/tetromino.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/TETR00001.vpk,https://raw.githubusercontent.com/svennd/vita-tetromino/master/README.md,None,https://github.com/svennd/vita-tetromino.git,None,1589337417,None,None,VPK,None,True
OPENJAZZ1,OpenJazz,usineur,https://raw.githubusercontent.com/usineur/openjazz/vita/res/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/OPENJAZZ1_icon0.png,https://github.com/usineur/openjazz/releases/download/1.1/OpenJazz.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/OPENJAZZ1.vpk,https://raw.githubusercontent.com/usineur/openjazz/vita/README.md,None,https://github.com/usineur/openjazz.git,None,1589337407,None,None,VPK,28fb04cb,True
METHANE01,Methane,usineur,https://raw.githubusercontent.com/usineur/methane/vita/source/vita/res/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/METHANE01_icon0.png,https://github.com/usineur/methane/releases/download/1.1/Methane.vpk,None,https://raw.githubusercontent.com/usineur/methane/vita/README.md,None,https://github.com/usineur/methane.git,None,1589337404,None,None,VPK,23d4e6b0,True
HYDCASLAB,Hydra Castle Labyrinth,Rinnegatamante,https://raw.githubusercontent.com/Rinnegatamante/HCL-Vita/master/build/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/HYDCASLAB_icon0.png,https://vitadb.rinnegatamante.it/get_hb_url.php?id=347,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/HYDCASLAB.vpk,None,None,https://github.com/Rinnegatamante/HCL-Vita.git,None,1589337378,None,None,VPK,None,True
MIRROR000,mirrormagic,rsn8887,https://raw.githubusercontent.com/rsn8887/rocksndiamonds/master/psp2data/mirrormagic/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/MIRROR000_icon0.png,https://github.com/rsn8887/rocksndiamonds/releases/download/1.14/mirrormagic_vita_1.12.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/MIRROR000.vpk,https://raw.githubusercontent.com/rsn8887/rocksndiamonds/master/README.MD,None,https://github.com/rsn8887/rocksndiamonds.git,None,1589337311,None,None,VPK,c47969cf_00,True
ANGU00001,OpenTTD,angguss,https://raw.githubusercontent.com/angguss/OpenTTD/master/media/openttd.128.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/ANGU00001_icon0.png,https://github.com/angguss/OpenTTD/releases/download/0.3-vita/openttd.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/ANGU00001.vpk,https://raw.githubusercontent.com/angguss/OpenTTD/master/README.md,None,https://github.com/angguss/OpenTTD.git,None,1589337302,None,None,VPK,3e8db578,True
JULIUS001_01,julius,devnoname120 & Julius Team,https://raw.githubusercontent.com/bvschaik/julius/master/res/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/JULIUS001_01_icon0.png,https://github.com/bvschaik/julius/releases/download/v1.4.0/julius-1.4.0-vita.vpk,None,https://raw.githubusercontent.com/bvschaik/julius/master/README.md,None,https://github.com/bvschaik/julius.git,None,1589337264,None,None,VPK,None,True
VOYAGERQ3,vitaVoyager,Rinnegatamante,https://raw.githubusercontent.com/Rinnegatamante/vitaVoyager/master/build/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/VOYAGERQ3_icon0.png,https://vitadb.rinnegatamante.it/get_hb_url.php?id=491,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/VOYAGERQ3.vpk,https://raw.githubusercontent.com/Rinnegatamante/vitaVoyager/master/README.md,None,https://github.com/Rinnegatamante/vitaVoyager.git,None,1589337230,None,None,VPK,689a2463,True
JULIUS001,julius,devnoname120 & Julius Team,https://raw.githubusercontent.com/bvschaik/julius/master/res/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/JULIUS001_icon0.png,https://github.com/bvschaik/julius/releases/download/v1.4.0/julius-1.4.0-vita.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/JULIUS001.vpk,https://raw.githubusercontent.com/bvschaik/julius/master/README.md,None,https://github.com/bvschaik/julius.git,None,1589337227,None,None,VPK,None,True
SPOP00001,SDLPoP-Vita,usineur,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/SPOP00001_icon0.png,None,https://github.com/usineur/SDLPoP/releases/download/vita-1.7/SDLPoP-Vita.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/SPOP00001.vpk,https://raw.githubusercontent.com/usineur/SDLPoP/master/README.md,None,https://github.com/usineur/SDLPoP.git,None,1589337214,None,None,VPK,f784515d,True
MERITOUS1,meritous,Rinnegatamante,https://raw.githubusercontent.com/Rinnegatamante/meritous-vita/master/build/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/MERITOUS1_icon0.png,https://vitadb.rinnegatamante.it/get_hb_url.php?id=411,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/MERITOUS1.vpk,https://raw.githubusercontent.com/Rinnegatamante/meritous-vita/master/readme.txt,None,https://github.com/Rinnegatamante/meritous-vita.git,None,1589337205,None,None,VPK,2a3e5712,True
HODEVITA1,hode,usineur,https://raw.githubusercontent.com/usineur/hode/master/3p/res/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/HODEVITA1_icon0.png,https://github.com/usineur/hode/releases/download/0.2.9/hode.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/HODEVITA1.vpk,https://raw.githubusercontent.com/usineur/hode/master/README.txt,None,https://github.com/usineur/hode.git,None,1589337141,None,None,VPK,None,True
PFBA00001,pfba,cpasjuste,https://raw.githubusercontent.com/Cpasjuste/pemu/master/pfba/data/vita/romfs/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/PFBA00001_icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/PFBA00001.vpk,None,https://raw.githubusercontent.com/Cpasjuste/pemu/master/README.md,None,https://github.com/Cpasjuste/pemu.git,None,1589337138,None,None,VPK,21bcaa01,True
XYZZ00002,Moonlight,xyzz & d3m3vilurr & ShadowPrince,https://raw.githubusercontent.com/xyzz/vita-moonlight/vita/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/XYZZ00002_icon0.png,https://github.com/xyzz/vita-moonlight/releases/download/0.8.0/moonlight.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/XYZZ00002.vpk,https://raw.githubusercontent.com/xyzz/vita-moonlight/vita/README.md,None,https://github.com/xyzz/vita-moonlight.git,None,1589337133,None,None,VPK,None,True
MGBA00001,mGBA,endrift,https://raw.githubusercontent.com/mgba-emu/mgba/master/res/mgba-128.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/MGBA00001_icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/MGBA00001.vpk,None,https://raw.githubusercontent.com/mgba-emu/mgba/master/README.md,None,https://github.com/mgba-emu/mgba.git,None,1589337123,None,None,VPK,None,True
RTCW00001,vitaRTCW,Rinnegatamante,https://raw.githubusercontent.com/Rinnegatamante/vitaRTCW/master/build/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/RTCW00001_icon0.png,https://vitadb.rinnegatamante.it/get_hb_url.php?id=459,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/RTCW00001.vpk,https://raw.githubusercontent.com/Rinnegatamante/vitaRTCW/master/README.txt,None,https://github.com/Rinnegatamante/vitaRTCW.git,None,1589337111,None,None,VPK,a92fe139,True
PKGJ00000,PKGj,blastrock & mmozeiko,https://raw.githubusercontent.com/blastrock/pkgj/master/assets/sce_sys/icon0.png,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/icon0/PKGJ00000_icon0.png,https://github.com/blastrock/pkgj/releases/download/v0.55/pkgj.vpk,https://gitlab.com/SilicaAndPina/cbpsdb/-/raw/master/vpk/PKGJ00000.vpk,https://raw.githubusercontent.com/blastrock/pkgj/master/README.md,None,https://github.com/blastrock/pkgj.git,None,1589337108,None,None,VPK,None,True
LOLI00001,Lolicopocalypse,dots-tb & teakhanirons,https://raw.githubusercontent.com/teakhanirons/LolicopocalypseVita/master/sce_sys/icon0.png,None,https://github.com/teakhanirons/LolicopocalypseVita/releases/download/1.0/Lolicopocalypse.vpk,None,https://raw.githubusercontent.com/dots-tb/LolicopocalypseVita/master/README.md,None,https://github.com/dots-tb/LolicopocalypseVita.git,None,1589337096,None,None,VPK,None,True
CONNECT04,Connect Four,Dane64,https://raw.githubusercontent.com/Dane64/ConnectFour/master/sce_sys/icon0.png,None,https://github.com/Dane64/ConnectFour/releases/download/1.00/C4.vpk,None,https://raw.githubusercontent.com/Dane64/ConnectFour/master/README.md,None,https://github.com/Dane64/ConnectFour.git,None,1589050728,None,None,VPK,None,True
